age,Medu,Fedu,studytime,famsup,higher,internet,romantic,freetime,goout,health,absences,G1,G2,label
18.0,1.0,1.0,1.0,no,no,yes,yes,2.0,3.0,2.0,4.0,9.0,11.0,0
19.0,1.0,1.0,2.0,yes,yes,yes,yes,1.0,4.0,1.0,12.0,7.0,8.0,0
16.0,2.0,2.0,2.0,no,yes,no,yes,3.0,2.0,3.0,2.0,8.0,10.0,0
17.0,0.0,1.0,1.0,no,yes,no,no,4.0,4.0,5.0,5.0,9.0,9.0,0
16.0,1.0,2.0,2.0,no,no,yes,no,4.0,5.0,3.0,0.0,8.0,9.0,0
16.0,3.0,3.0,1.0,no,no,yes,yes,5.0,4.0,4.0,0.0,14.0,13.0,1
16.0,1.0,1.0,1.0,yes,yes,yes,yes,4.0,4.0,4.0,2.0,14.0,14.0,1
17.0,3.0,3.0,4.0,yes,yes,no,no,4.0,5.0,5.0,0.0,10.0,11.0,0
16.0,2.0,1.0,2.0,yes,yes,yes,no,3.0,3.0,1.0,0.0,14.0,13.0,1
16.0,2.0,2.0,1.0,yes,yes,no,yes,2.0,5.0,5.0,0.0,17.0,16.0,1
17.0,1.0,2.0,1.0,yes,no,yes,yes,3.0,5.0,1.0,12.0,6.0,7.0,0
16.0,4.0,3.0,1.0,no,yes,yes,no,2.0,5.0,5.0,8.0,14.0,12.0,1
17.0,2.0,2.0,4.0,yes,yes,no,no,3.0,5.0,3.0,2.0,10.0,8.0,0
16.0,1.0,1.0,4.0,yes,yes,yes,no,2.0,1.0,5.0,0.0,14.0,14.0,1
19.0,2.0,2.0,3.0,no,yes,yes,yes,4.0,5.0,1.0,0.0,12.0,13.0,1
17.0,1.0,1.0,1.0,yes,yes,yes,yes,4.0,5.0,5.0,0.0,11.0,11.0,0
20.0,3.0,3.0,2.0,no,yes,yes,yes,3.0,4.0,3.0,8.0,11.0,9.0,0
17.0,1.0,1.0,3.0,yes,yes,no,yes,3.0,3.0,3.0,0.0,11.0,11.0,0
17.0,2.0,2.0,1.0,yes,yes,yes,no,4.0,5.0,5.0,0.0,10.0,9.0,0
16.0,1.0,1.0,2.0,yes,yes,no,no,3.0,2.0,1.0,0.0,16.0,17.0,1
17.0,2.0,2.0,2.0,yes,yes,no,no,3.0,2.0,1.0,0.0,15.0,17.0,1
17.0,1.0,0.0,2.0,no,yes,yes,yes,4.0,5.0,4.0,1.0,11.0,9.0,0
18.0,1.0,1.0,2.0,yes,yes,yes,yes,3.0,2.0,5.0,9.0,7.0,7.0,0
16.0,3.0,1.0,1.0,no,yes,yes,no,1.0,3.0,1.0,0.0,8.0,6.0,0
16.0,3.0,2.0,1.0,no,yes,yes,no,1.0,3.0,3.0,2.0,7.0,6.0,0
18.0,1.0,1.0,2.0,no,yes,no,no,3.0,5.0,3.0,8.0,9.0,8.0,0
16.0,4.0,4.0,2.0,no,yes,yes,yes,3.0,3.0,2.0,0.0,14.0,16.0,1
16.0,1.0,2.0,1.0,no,yes,yes,no,4.0,5.0,2.0,0.0,14.0,14.0,1
18.0,2.0,4.0,2.0,yes,yes,yes,no,3.0,2.0,1.0,8.0,8.0,5.0,0
16.0,2.0,1.0,2.0,no,yes,yes,no,2.0,1.0,2.0,0.0,8.0,7.0,0
16.0,1.0,1.0,2.0,yes,yes,yes,no,3.0,2.0,5.0,6.0,6.0,8.0,0
16.0,2.0,3.0,2.0,yes,yes,yes,no,3.0,3.0,2.0,0.0,8.0,10.0,0
16.0,4.0,4.0,2.0,yes,yes,yes,yes,3.0,4.0,3.0,4.0,8.0,8.0,0
18.0,4.0,4.0,4.0,yes,no,yes,yes,5.0,5.0,5.0,2.0,5.0,6.0,0
16.0,3.0,4.0,2.0,yes,yes,no,no,2.0,1.0,2.0,2.0,7.0,9.0,0
17.0,4.0,4.0,3.0,yes,yes,yes,no,4.0,3.0,5.0,0.0,15.0,14.0,1
17.0,4.0,1.0,1.0,no,yes,yes,yes,2.0,3.0,5.0,1.0,13.0,14.0,1
16.0,2.0,2.0,3.0,no,yes,no,no,1.0,3.0,3.0,0.0,10.0,9.0,0
17.0,2.0,2.0,1.0,yes,yes,yes,no,1.0,3.0,5.0,5.0,9.0,9.0,0
16.0,4.0,4.0,1.0,yes,yes,no,no,1.0,3.0,5.0,1.0,11.0,11.0,0
17.0,3.0,3.0,1.0,yes,yes,yes,no,1.0,4.0,3.0,8.0,7.0,10.0,0
17.0,1.0,1.0,2.0,no,yes,yes,yes,1.0,3.0,1.0,0.0,10.0,10.0,0
16.0,2.0,1.0,2.0,no,yes,yes,yes,2.0,2.0,5.0,2.0,9.0,7.0,0
16.0,2.0,1.0,2.0,no,yes,yes,yes,2.0,2.0,3.0,0.0,14.0,15.0,1
16.0,4.0,4.0,1.0,yes,yes,yes,no,1.0,2.0,5.0,0.0,11.0,12.0,1
15.0,1.0,2.0,2.0,yes,yes,no,no,5.0,5.0,5.0,11.0,9.0,11.0,0
15.0,2.0,2.0,4.0,yes,yes,no,no,4.0,5.0,5.0,8.0,13.0,14.0,1
15.0,2.0,1.0,1.0,no,yes,yes,no,3.0,3.0,5.0,11.0,12.0,13.0,1
16.0,2.0,2.0,3.0,yes,yes,no,yes,3.0,3.0,5.0,2.0,11.0,11.0,0
16.0,4.0,1.0,2.0,yes,yes,yes,no,2.0,4.0,1.0,8.0,9.0,10.0,0
17.0,3.0,2.0,1.0,no,yes,no,yes,3.0,3.0,1.0,5.0,9.0,11.0,0
17.0,2.0,2.0,2.0,no,yes,no,no,1.0,3.0,5.0,0.0,11.0,9.0,0
16.0,4.0,4.0,3.0,yes,yes,yes,yes,3.0,5.0,5.0,1.0,10.0,11.0,1
17.0,4.0,4.0,1.0,no,yes,yes,yes,3.0,3.0,5.0,2.0,9.0,9.0,0
17.0,1.0,3.0,1.0,no,yes,no,yes,1.0,2.0,5.0,2.0,12.0,11.0,1
17.0,3.0,4.0,2.0,yes,yes,yes,yes,4.0,4.0,5.0,8.0,8.0,9.0,0
17.0,4.0,4.0,2.0,yes,yes,yes,no,2.0,5.0,5.0,0.0,13.0,15.0,1
16.0,4.0,1.0,1.0,no,yes,yes,no,1.0,2.0,2.0,0.0,10.0,11.0,0
17.0,1.0,1.0,2.0,no,yes,yes,yes,5.0,5.0,3.0,2.0,11.0,10.0,0
17.0,4.0,2.0,2.0,yes,yes,yes,no,3.0,3.0,5.0,0.0,17.0,18.0,1
16.0,2.0,2.0,2.0,yes,yes,yes,yes,1.0,2.0,5.0,0.0,12.0,13.0,1
17.0,3.0,2.0,2.0,yes,yes,yes,no,1.0,2.0,1.0,0.0,13.0,14.0,1
19.0,1.0,1.0,2.0,yes,no,yes,no,4.0,3.0,4.0,2.0,9.0,9.0,0
17.0,1.0,0.0,1.0,no,yes,no,yes,1.0,2.0,5.0,4.0,11.0,11.0,1
17.0,1.0,1.0,1.0,yes,no,yes,yes,5.0,5.0,4.0,3.0,10.0,11.0,0
16.0,1.0,2.0,3.0,yes,yes,yes,yes,3.0,4.0,3.0,5.0,13.0,14.0,1
16.0,1.0,2.0,1.0,no,yes,no,no,4.0,4.0,5.0,4.0,9.0,10.0,0
17.0,3.0,1.0,2.0,yes,yes,yes,yes,4.0,4.0,5.0,2.0,7.0,9.0,0
17.0,2.0,2.0,1.0,no,no,no,yes,5.0,5.0,5.0,0.0,8.0,13.0,0
18.0,1.0,0.0,1.0,yes,yes,no,no,3.0,2.0,4.0,0.0,12.0,12.0,1
17.0,1.0,1.0,1.0,yes,yes,yes,yes,5.0,5.0,2.0,0.0,10.0,9.0,0
18.0,1.0,1.0,2.0,yes,yes,no,no,3.0,3.0,5.0,6.0,10.0,9.0,0
16.0,2.0,2.0,2.0,no,yes,no,yes,4.0,3.0,1.0,0.0,11.0,13.0,1
17.0,2.0,2.0,1.0,no,yes,no,yes,2.0,1.0,5.0,0.0,7.0,0.0,0
16.0,3.0,2.0,1.0,no,yes,yes,no,5.0,5.0,5.0,2.0,11.0,9.0,0
16.0,1.0,1.0,1.0,no,yes,yes,no,5.0,5.0,5.0,0.0,10.0,10.0,0
18.0,1.0,1.0,1.0,yes,no,yes,yes,3.0,3.0,5.0,2.0,9.0,7.0,0
18.0,3.0,2.0,1.0,no,no,yes,no,3.0,1.0,5.0,0.0,4.0,0.0,0
19.0,3.0,2.0,1.0,no,yes,no,no,2.0,1.0,3.0,4.0,6.0,11.0,0
18.0,3.0,3.0,2.0,yes,no,yes,no,4.0,5.0,3.0,9.0,4.0,8.0,0
16.0,2.0,2.0,1.0,yes,yes,yes,yes,4.0,3.0,4.0,6.0,7.0,8.0,0
19.0,2.0,1.0,1.0,no,no,yes,yes,4.0,3.0,5.0,4.0,8.0,9.0,0
16.0,3.0,2.0,2.0,yes,yes,no,yes,5.0,5.0,1.0,8.0,5.0,5.0,0
17.0,1.0,1.0,1.0,yes,yes,no,no,3.0,2.0,5.0,9.0,7.0,9.0,0
20.0,1.0,1.0,1.0,yes,no,yes,yes,4.0,3.0,4.0,12.0,8.0,11.0,0
18.0,4.0,3.0,1.0,yes,yes,yes,no,4.0,4.0,2.0,8.0,10.0,11.0,0
18.0,3.0,2.0,1.0,yes,yes,yes,no,5.0,5.0,5.0,8.0,9.0,10.0,0
19.0,1.0,1.0,2.0,no,yes,yes,no,4.0,4.0,2.0,8.0,10.0,9.0,0
17.0,3.0,3.0,2.0,yes,yes,yes,no,5.0,4.0,3.0,4.0,8.0,9.0,0
18.0,1.0,3.0,1.0,no,no,yes,yes,3.0,3.0,3.0,0.0,9.0,10.0,0
19.0,1.0,1.0,1.0,yes,yes,yes,no,4.0,4.0,5.0,4.0,8.0,9.0,0
18.0,1.0,2.0,2.0,yes,yes,no,no,3.0,3.0,5.0,2.0,6.0,8.0,0
19.0,1.0,1.0,1.0,yes,no,no,no,4.0,4.0,5.0,0.0,6.0,8.0,0
18.0,2.0,2.0,1.0,no,no,yes,yes,5.0,5.0,3.0,0.0,8.0,6.0,0
17.0,0.0,0.0,1.0,yes,yes,yes,no,4.0,3.0,5.0,0.0,10.0,11.0,0
17.0,3.0,1.0,3.0,yes,no,no,no,2.0,3.0,3.0,5.0,8.0,7.0,0
17.0,4.0,2.0,2.0,yes,yes,yes,no,5.0,5.0,5.0,0.0,8.0,8.0,0
18.0,2.0,2.0,2.0,yes,yes,yes,no,3.0,3.0,4.0,3.0,7.0,6.0,0
17.0,4.0,1.0,1.0,yes,yes,no,yes,2.0,2.0,5.0,0.0,8.0,10.0,0
17.0,1.0,2.0,1.0,no,yes,yes,no,5.0,1.0,3.0,0.0,7.0,10.0,0
18.0,1.0,1.0,2.0,no,yes,no,yes,4.0,4.0,5.0,3.0,7.0,8.0,0
18.0,2.0,2.0,2.0,no,yes,yes,no,3.0,5.0,1.0,2.0,12.0,13.0,1
17.0,3.0,3.0,1.0,yes,yes,yes,no,4.0,3.0,4.0,0.0,11.0,12.0,1
18.0,1.0,2.0,2.0,no,yes,yes,no,4.0,3.0,4.0,0.0,12.0,13.0,1
18.0,4.0,4.0,2.0,no,yes,yes,no,3.0,5.0,1.0,0.0,18.0,18.0,1
18.0,4.0,4.0,1.0,yes,yes,yes,no,4.0,5.0,5.0,3.0,17.0,17.0,1
17.0,4.0,2.0,2.0,yes,yes,yes,no,3.0,3.0,4.0,0.0,17.0,18.0,1
18.0,2.0,2.0,2.0,no,yes,no,yes,3.0,3.0,4.0,0.0,9.0,0.0,0
18.0,1.0,2.0,1.0,yes,yes,no,no,1.0,4.0,1.0,8.0,10.0,11.0,0
18.0,4.0,4.0,1.0,yes,yes,yes,yes,5.0,5.0,1.0,5.0,12.0,13.0,1
17.0,1.0,1.0,1.0,no,no,no,no,2.0,3.0,4.0,4.0,12.0,13.0,1
18.0,2.0,2.0,2.0,yes,yes,yes,yes,3.0,1.0,2.0,4.0,8.0,8.0,0
18.0,2.0,2.0,3.0,no,yes,yes,yes,4.0,5.0,3.0,0.0,11.0,12.0,1
18.0,4.0,2.0,2.0,no,yes,yes,yes,3.0,1.0,5.0,0.0,5.0,0.0,0
18.0,1.0,1.0,2.0,no,no,no,no,4.0,2.0,2.0,2.0,9.0,10.0,0
19.0,1.0,1.0,1.0,no,no,no,no,5.0,5.0,2.0,0.0,5.0,0.0,0
17.0,4.0,2.0,4.0,no,yes,yes,yes,2.0,3.0,5.0,0.0,18.0,18.0,1
17.0,2.0,1.0,2.0,no,yes,yes,yes,3.0,3.0,2.0,5.0,11.0,11.0,1
18.0,1.0,1.0,2.0,no,yes,no,yes,2.0,3.0,3.0,2.0,8.0,10.0,0
18.0,1.0,2.0,2.0,yes,no,no,no,1.0,1.0,4.0,0.0,11.0,11.0,1
19.0,1.0,1.0,2.0,yes,no,no,yes,5.0,4.0,1.0,0.0,8.0,0.0,0
18.0,2.0,2.0,3.0,no,yes,yes,yes,2.0,1.0,4.0,5.0,14.0,14.0,1
17.0,4.0,3.0,2.0,yes,yes,yes,yes,5.0,5.0,2.0,4.0,10.0,11.0,0
18.0,3.0,3.0,2.0,yes,yes,no,yes,3.0,4.0,5.0,0.0,10.0,10.0,0
17.0,4.0,4.0,2.0,yes,yes,yes,no,3.0,3.0,5.0,2.0,12.0,12.0,1
17.0,3.0,2.0,2.0,no,yes,no,yes,2.0,3.0,5.0,0.0,15.0,14.0,1
18.0,1.0,1.0,1.0,no,yes,yes,yes,3.0,2.0,3.0,2.0,14.0,13.0,1
18.0,1.0,1.0,3.0,no,yes,yes,no,3.0,2.0,4.0,0.0,19.0,17.0,1
18.0,1.0,2.0,2.0,no,yes,no,yes,3.0,4.0,5.0,0.0,16.0,15.0,1
18.0,3.0,3.0,2.0,yes,yes,yes,yes,3.0,2.0,3.0,6.0,13.0,12.0,1
17.0,4.0,4.0,2.0,yes,yes,yes,yes,3.0,4.0,1.0,4.0,15.0,14.0,1
17.0,1.0,2.0,2.0,no,yes,no,no,2.0,2.0,3.0,0.0,13.0,13.0,1
18.0,1.0,3.0,2.0,yes,yes,no,no,3.0,4.0,3.0,0.0,8.0,10.0,0
18.0,4.0,4.0,3.0,no,yes,yes,yes,2.0,2.0,5.0,0.0,15.0,16.0,1
17.0,1.0,1.0,1.0,yes,yes,yes,yes,2.0,1.0,1.0,0.0,8.0,8.0,0
18.0,2.0,3.0,1.0,yes,yes,yes,yes,2.0,3.0,4.0,0.0,10.0,10.0,0
18.0,4.0,4.0,2.0,yes,yes,yes,yes,2.0,2.0,5.0,0.0,7.0,5.0,0
18.0,1.0,2.0,1.0,yes,no,yes,yes,3.0,3.0,3.0,3.0,9.0,10.0,0
17.0,2.0,2.0,3.0,no,yes,no,yes,4.0,3.0,3.0,8.0,10.0,11.0,1
17.0,1.0,2.0,1.0,no,yes,yes,no,5.0,5.0,1.0,4.0,7.0,8.0,0
18.0,4.0,4.0,3.0,no,yes,yes,no,4.0,4.0,1.0,0.0,15.0,17.0,1
18.0,1.0,1.0,3.0,no,yes,yes,no,3.0,2.0,4.0,4.0,10.0,11.0,1
19.0,1.0,1.0,2.0,yes,yes,yes,yes,3.0,3.0,3.0,4.0,7.0,8.0,0
18.0,4.0,4.0,2.0,no,yes,yes,no,4.0,3.0,2.0,1.0,13.0,14.0,1
18.0,3.0,3.0,2.0,no,yes,yes,yes,1.0,3.0,1.0,1.0,16.0,16.0,1
17.0,3.0,1.0,2.0,yes,yes,yes,no,5.0,4.0,1.0,10.0,8.0,9.0,0
18.0,4.0,4.0,2.0,no,yes,yes,no,2.0,4.0,2.0,4.0,17.0,18.0,1
18.0,2.0,1.0,1.0,no,yes,yes,yes,4.0,3.0,5.0,0.0,7.0,7.0,0
17.0,2.0,3.0,2.0,no,yes,yes,no,4.0,3.0,3.0,4.0,14.0,15.0,1
19.0,1.0,1.0,1.0,no,yes,no,no,3.0,2.0,5.0,0.0,5.0,8.0,0
18.0,4.0,2.0,1.0,no,yes,no,no,4.0,3.0,3.0,0.0,7.0,7.0,0
18.0,2.0,2.0,3.0,no,yes,no,no,3.0,3.0,4.0,0.0,14.0,17.0,1
17.0,4.0,3.0,2.0,no,yes,yes,no,5.0,4.0,1.0,0.0,6.0,9.0,0
18.0,4.0,4.0,1.0,yes,yes,yes,yes,4.0,3.0,5.0,4.0,7.0,9.0,0
19.0,2.0,3.0,3.0,no,yes,yes,no,4.0,2.0,5.0,4.0,10.0,11.0,0
18.0,3.0,1.0,2.0,yes,yes,yes,no,3.0,4.0,1.0,4.0,15.0,15.0,1
18.0,1.0,1.0,2.0,no,yes,no,no,1.0,1.0,5.0,6.0,11.0,12.0,0
17.0,3.0,1.0,1.0,no,yes,yes,no,4.0,5.0,2.0,6.0,10.0,10.0,0
18.0,3.0,2.0,1.0,no,yes,yes,no,4.0,1.0,5.0,4.0,10.0,11.0,0
